#ID	a	e	i	o	p	M
11343	2.38	0.23	2.50	158.55	244.59	119.15
11344	2.40	0.18	1.61	271.83	147.10	111.40
11345	2.41	0.21	3.53	87.96	299.71	132.02
11346	2.68	0.16	0.98	147.20	247.85	85.75
11347	2.48	0.16	1.13	220.58	210.33	86.20
11348	2.86	0.06	1.05	325.53	103.58	35.24
11349	2.38	0.13	5.45	202.77	93.51	356.71
11350	2.93	0.10	2.49	164.54	236.10	234.60
11351	5.23	0.07	11.59	251.09	160.72	119.55
11352	3.17	0.17	2.34	114.73	228.88	357.77
11353	2.94	0.10	1.08	236.61	91.37	327.90
11354	2.41	0.20	1.60	277.27	11.85	119.82
11355	2.78	0.05	7.19	95.64	223.44	72.38
11356	3.04	0.11	12.36	69.67	330.46	244.45
11357	2.97	0.06	1.23	355.78	127.29	233.44
11358	3.01	0.08	9.38	311.84	9.38	27.53
11359	2.53	0.20	12.24	307.65	280.03	235.50
11360	2.41	0.13	2.83	15.98	175.45	294.57
11361	2.45	0.19	6.10	39.37	189.38	255.52
11362	2.63	0.07	2.77	67.78	246.09	127.81
11363	2.16	0.16	5.32	44.13	320.04	177.67
11364	2.60	0.15	4.10	105.33	192.04	207.26
11365	2.18	0.14	2.86	231.72	177.53	150.30
11366	2.74	0.14	16.77	129.73	26.71	295.22
11367	2.59	0.12	14.52	161.09	197.29	140.49
11368	2.79	0.13	10.15	128.49	152.73	192.46
11369	2.32	0.11	3.39	227.34	233.76	178.55
11370	2.63	0.11	0.44	63.85	291.70	226.55
11371	2.28	0.12	2.07	279.67	333.78	12.40
11372	2.84	0.08	1.97	12.04	321.54	221.51
11373	2.20	0.13	2.05	32.36	297.34	324.61
11374	2.34	0.14	6.88	196.40	105.86	307.04
11375	2.99	0.11	9.71	224.46	103.42	211.98
11376	2.43	0.13	1.08	183.55	36.04	17.83
11377	3.23	0.13	2.57	95.79	8.98	93.22
11378	2.40	0.13	3.44	143.43	254.26	244.36
11379	2.64	0.22	4.27	82.93	221.62	285.30
11380	2.41	0.06	4.38	305.80	19.33	311.43
11381	3.20	0.10	4.66	225.83	18.06	299.98
11382	2.19	0.16	3.78	148.42	193.45	331.44
11383	2.76	0.11	3.02	113.38	341.51	151.34
11384	2.40	0.18	2.67	174.42	183.57	283.00
11385	3.03	0.08	2.77	112.92	152.25	304.80
11386	2.35	0.28	6.87	261.72	96.82	285.67
11387	2.65	0.23	2.22	6.85	291.77	290.90
11388	3.95	0.11	8.16	217.66	282.45	54.03
11389	3.16	0.11	6.60	71.13	353.37	174.06
11390	3.09	0.17	0.48	329.83	1.64	228.96
11391	2.34	0.16	2.52	359.94	354.07	314.06
11392	2.72	0.02	6.26	114.81	342.26	241.95
11393	3.07	0.10	2.79	72.39	181.70	27.83
11394	3.13	0.16	12.24	103.05	275.24	204.73
11395	5.21	0.07	24.14	213.24	117.43	170.88
11396	5.21	0.06	12.59	195.69	177.25	130.24
11397	5.19	0.06	21.05	261.24	151.79	122.20
11398	1.72	0.39	15.03	144.96	74.46	355.36
11399	2.26	0.15	4.08	65.23	221.55	114.71
11400	2.16	0.08	0.23	282.52	90.52	33.72
11401	2.25	0.20	4.97	356.19	316.05	127.69
11402	2.22	0.16	3.33	351.71	336.78	60.92
11403	2.61	0.12	2.07	76.44	124.10	145.41
11404	3.17	0.13	1.47	16.91	38.31	236.79
11405	1.46	0.39	22.86	141.40	96.24	82.67
11406	2.77	0.06	3.76	146.54	40.76	170.14
11407	2.16	0.18	4.80	146.19	216.95	50.69
11408	3.16	0.14	0.78	227.76	17.26	99.84
11409	3.19	0.12	2.30	116.02	78.51	130.20
11410	3.95	0.16	5.77	39.88	269.36	11.69
11411	1.84	0.07	20.71	197.80	82.27	242.90
11412	3.06	0.09	10.19	26.44	1.83	333.84
11413	2.32	0.15	3.75	31.99	1.67	49.20
11414	2.35	0.12	0.91	53.17	237.36	161.62
11415	2.26	0.20	6.49	154.72	163.69	193.56
11416	3.14	0.04	12.69	167.02	193.05	18.28
11417	2.76	0.10	5.07	67.08	241.70	103.70
11418	2.71	0.04	5.03	199.73	226.87	346.45
11419	3.02	0.08	11.33	63.44	16.37	296.58
11420	2.18	0.16	5.89	78.71	305.82	119.31
11421	3.16	0.16	3.19	125.47	359.60	290.81
11422	2.55	0.12	3.19	236.45	61.64	142.60
11423	2.52	0.12	4.59	251.56	124.98	83.23
11424	2.41	0.16	12.91	67.09	333.61	74.10
11425	2.37	0.23	3.25	30.58	345.74	133.36
11426	3.15	0.28	15.15	185.82	213.66	73.02
11427	3.18	0.08	5.46	179.42	128.91	132.90
11428	5.29	0.01	17.34	3.33	61.70	95.48
11429	5.31	0.03	17.04	6.48	93.99	32.56
11430	2.20	0.12	3.94	102.27	154.39	255.35
11431	3.14	0.13	5.87	36.00	169.87	142.96
11432	3.12	0.15	0.72	2.59	279.06	75.85
11433	2.42	0.16	3.21	59.72	140.95	288.70
11434	2.74	0.28	8.71	349.00	340.53	158.98
11435	2.42	0.22	1.36	234.93	116.44	180.43
11436	2.22	0.14	7.35	239.67	55.62	243.25
11437	1.86	0.10	22.89	355.71	76.36	192.46
11438	2.19	0.19	2.83	203.09	104.78	232.43
11439	2.65	0.18	4.81	79.66	26.43	53.41
11440	3.41	0.07	9.51	191.12	261.40	330.37
11441	2.56	0.26	12.28	218.07	204.86	115.95
11442	2.22	0.04	5.37	53.39	333.40	171.38
11443	2.31	0.15	1.08	27.00	127.57	332.37
11444	2.30	0.22	3.67	188.17	154.68	199.78
11445	2.64	0.17	12.90	3.55	54.37	78.66
11446	3.06	0.20	0.88	214.49	163.39	98.56
11447	2.63	0.20	12.89	216.68	172.09	114.27
11448	2.23	0.20	3.52	150.24	210.50	169.64
11449	2.91	0.03	1.13	303.49	310.22	216.22
11450	2.24	0.10	7.71	148.37	31.93	328.44
11451	2.90	0.07	1.56	346.97	262.88	228.62
11452	2.39	0.22	8.04	257.12	53.62	207.26
11453	2.56	0.11	8.62	294.99	88.79	135.84
11454	2.60	0.10	14.57	328.67	103.23	45.26
11455	3.06	0.05	9.90	252.29	199.85	8.80
11456	3.07	0.08	2.89	288.68	34.97	137.53
11457	2.29	0.13	5.10	267.49	328.09	270.23
11458	3.02	0.13	8.92	331.32	54.94	99.09
11459	2.28	0.22	4.20	292.09	295.62	289.59
11460	2.24	0.11	5.10	303.34	126.86	116.64
11461	2.28	0.10	5.86	337.69	201.35	319.87
11462	2.57	0.10	1.49	155.54	241.94	107.23
11463	2.25	0.11	1.78	254.83	197.22	78.09
11464	2.97	0.27	1.33	158.11	287.03	50.00
11465	3.10	0.03	20.55	174.34	223.64	38.04
11466	2.28	0.32	5.89	294.25	29.81	202.63
11467	2.56	0.12	3.39	321.03	76.13	112.04
11468	3.08	0.16	0.78	206.63	155.93	89.90
11469	2.30	0.23	0.96	188.38	86.62	234.29
11470	2.56	0.21	6.02	162.09	213.97	141.67
11471	2.57	0.14	6.29	227.41	234.96	35.39
11472	2.36	0.24	3.27	114.26	214.25	187.55
11473	2.63	0.24	9.89	348.53	353.28	154.21
11474	2.28	0.20	5.41	348.71	355.07	183.17
11475	2.27	0.10	9.03	49.47	65.79	111.28
11476	2.34	0.20	2.44	166.60	84.01	263.11
11477	2.99	0.10	9.26	228.38	184.79	61.41
11478	2.58	0.13	14.72	151.84	54.84	301.56
11479	3.20	0.15	2.14	164.40	118.61	169.00
11480	2.21	0.17	3.51	218.02	138.69	186.85
11481	2.57	0.04	6.65	234.55	155.10	132.60
11482	2.64	0.12	12.18	322.63	140.98	75.26
11483	2.62	0.15	2.51	172.95	253.90	110.54
11484	2.68	0.07	2.95	350.82	91.11	59.33
11485	3.18	0.15	1.68	21.73	295.06	125.71
11486	2.38	0.21	1.89	79.89	340.35	126.04
11487	5.15	0.05	3.52	342.45	8.08	22.55
11488	5.13	0.04	3.35	140.78	235.46	6.76
11489	2.38	0.13	6.82	1.12	20.65	163.66
11490	2.40	0.22	1.18	261.65	97.53	162.90
11491	2.40	0.17	1.63	275.96	111.60	153.00
11492	2.41	0.20	2.25	183.34	194.07	161.32
11493	2.44	0.17	2.55	160.81	281.50	89.96
11494	2.44	0.17	7.10	27.77	60.09	77.31
11495	2.42	0.23	1.03	236.45	161.20	149.41
11496	2.61	0.14	12.69	134.53	123.26	235.18
11497	2.56	0.09	14.01	305.68	247.73	339.27
11498	2.76	0.15	2.34	176.07	97.01	187.53
11499	2.22	0.18	3.09	176.93	155.22	209.57
11500	1.08	0.36	10.31	234.58	289.24	58.87
11501	2.27	0.17	3.36	190.04	209.68	153.81
11502	3.09	0.19	3.01	84.00	319.97	63.76
11503	2.34	0.10	4.47	324.27	155.91	73.71
11504	2.29	0.16	7.24	328.86	98.88	151.96
11505	3.38	0.02	1.95	336.99	280.77	196.21
11506	2.44	0.10	6.70	288.19	352.92	252.56
11507	2.66	0.29	12.14	251.03	85.14	174.05
11508	2.78	0.10	10.11	85.20	59.57	356.08
11509	5.19	0.14	18.50	214.79	127.93	32.75
11510	2.86	0.07	15.25	179.96	355.67	304.14
11511	2.72	0.19	12.60	288.04	138.59	117.29
11512	2.27	0.12	4.03	175.64	332.28	358.33
11513	3.18	0.06	5.48	217.11	334.91	275.03
11514	3.02	0.03	9.82	180.03	341.93	337.36
11515	3.15	0.09	7.87	111.11	312.26	22.12
11516	2.29	0.11	7.30	35.23	242.69	252.86
11517	3.11	0.15	0.60	342.74	119.37	357.80
11518	3.23	0.11	0.78	19.32	161.48	291.97
11519	2.39	0.16	1.67	37.65	216.56	235.98
11520	2.29	0.10	5.58	15.70	95.65	70.77
11521	3.15	0.17	2.14	119.40	323.08	34.55
11522	2.38	0.10	6.22	239.35	24.33	247.71
11523	2.54	0.20	14.81	135.48	251.81	127.37
11524	2.39	0.12	9.44	324.12	168.50	64.49
11525	2.56	0.23	7.16	136.91	250.89	132.13
11526	2.60	0.21	10.96	214.43	146.13	144.48
11527	2.62	0.23	3.77	129.41	252.35	118.74
11528	2.61	0.16	13.89	134.11	237.96	145.26
11529	2.68	0.25	3.95	78.26	1.10	86.29
11530	2.79	0.01	5.86	197.79	84.89	211.23
11531	2.90	0.07	2.39	108.47	229.74	147.96
11532	2.89	0.05	3.17	69.26	243.93	169.65
11533	3.01	0.09	9.73	131.71	133.08	192.45
11534	2.92	0.07	1.29	207.99	106.01	171.48
11535	2.92	0.07	1.88	166.66	133.01	177.92
11536	3.11	0.09	9.07	354.76	157.48	291.86
11537	2.19	0.15	4.98	90.10	164.89	265.43
11538	2.29	0.13	6.76	300.91	18.66	193.44
11539	2.28	0.13	5.75	268.52	104.09	179.16
11540	2.30	0.16	4.18	106.19	194.35	216.65
11541	2.27	0.11	7.71	239.51	163.91	169.07
11542	3.97	0.23	6.86	17.29	50.26	350.47
11543	2.39	0.20	3.04	50.31	358.74	123.33
11544	2.37	0.16	8.16	230.35	180.26	127.02
11545	2.38	0.24	3.74	90.87	313.68	129.47
11546	2.34	0.18	3.73	303.24	131.56	133.71
11547	2.34	0.22	2.03	298.26	113.97	144.71
11548	2.45	0.23	24.46	295.92	197.32	43.93
11549	2.53	0.09	11.42	268.43	326.07	280.70
11550	2.67	0.13	9.51	319.36	200.31	318.80
11551	2.62	0.10	13.12	120.58	8.11	2.89
11552	5.19	0.15	14.70	138.73	180.01	77.78
11553	2.64	0.06	2.34	334.10	330.36	182.70
11554	5.21	0.06	13.73	128.26	124.89	141.48
11555	2.67	0.10	13.65	149.27	25.02	316.11
11556	2.61	0.18	2.52	262.69	198.82	34.09
11557	2.74	0.07	4.62	88.21	10.49	15.38
11558	2.79	0.09	4.31	56.89	255.58	160.47
11559	2.79	0.09	2.32	329.73	18.96	130.67
11560	2.73	0.05	1.72	341.62	314.08	200.26
11561	2.79	0.08	3.85	340.60	5.75	128.65
11562	2.76	0.09	4.63	55.09	87.35	334.75
11563	2.78	0.14	9.61	179.79	120.47	186.30
11564	2.28	0.18	5.36	186.84	165.39	351.27
11565	2.67	0.24	0.55	274.31	103.17	124.38
11566	2.74	0.11	7.12	26.94	266.89	198.08
11567	2.81	0.01	4.71	28.14	171.25	260.89
11568	2.87	0.03	2.74	48.83	212.56	199.54
11569	3.11	0.16	18.16	175.86	99.01	154.54
11570	3.03	0.08	11.94	131.76	147.47	184.04
11571	3.07	0.24	2.87	137.39	270.03	89.01
11572	2.42	0.17	0.64	218.64	51.77	98.71
11573	3.24	0.27	2.26	310.93	128.04	75.21
11574	2.29	0.25	11.80	137.60	195.61	182.67
11575	2.31	0.15	5.70	254.33	74.92	203.15
11576	2.42	0.13	10.93	356.52	256.71	259.42
11577	2.45	0.14	4.02	75.72	206.61	223.24
11578	2.47	0.08	6.57	172.49	320.05	359.17
11579	2.59	0.20	13.61	201.57	87.41	218.56
11580	2.44	0.13	3.09	216.05	267.04	47.99
11581	2.98	0.09	10.08	159.65	163.47	130.85
11582	2.87	0.00	0.97	299.74	240.74	305.12
11583	2.99	0.14	4.80	115.45	183.26	145.59
11584	3.05	0.08	9.12	326.14	99.90	21.49
11585	2.87	0.08	2.62	152.44	178.98	152.39
11586	2.98	0.12	10.19	219.91	146.76	135.18
11587	3.15	0.20	3.13	64.52	309.69	90.75
11588	3.19	0.16	5.98	129.02	243.93	97.75
11589	3.38	0.06	13.55	250.72	143.52	54.86
11590	3.15	0.18	1.97	111.42	262.13	102.30
11591	2.31	0.09	4.77	154.32	71.51	261.22
11592	2.23	0.14	3.97	139.93	130.72	242.22
11593	2.21	0.09	2.59	132.25	77.66	322.70
11594	2.33	0.24	3.59	100.23	214.49	199.38
11595	2.26	0.07	4.99	76.30	83.52	292.01
11596	2.37	0.23	19.84	185.85	112.13	208.75
11597	2.31	0.21	22.08	306.41	285.10	291.44
11598	2.34	0.17	3.08	125.41	73.15	324.33
11599	2.44	0.18	2.73	38.09	278.46	201.89
11600	2.65	0.15	10.62	258.35	27.45	190.62
11601	2.65	0.12	13.68	270.24	110.36	110.87
11602	2.68	0.13	10.60	310.07	229.32	281.59
11603	2.58	0.11	15.25	9.76	328.36	177.17
11604	2.99	0.02	8.51	242.63	275.90	284.07
11605	2.56	0.16	13.43	229.95	92.02	181.57
11606	2.44	0.17	5.86	335.76	29.53	200.34
11607	3.18	0.16	14.47	239.62	318.39	233.94
11608	2.70	0.20	10.81	297.73	93.37	124.09
11609	3.08	0.14	2.29	115.20	347.19	354.81
11610	3.03	0.07	8.76	270.39	131.80	57.39
11611	3.00	0.08	11.82	117.63	181.60	149.10
11612	2.90	0.18	7.19	11.76	58.00	59.14
11613	2.98	0.12	9.42	342.84	67.26	66.23
11614	2.98	0.13	12.02	94.22	277.12	110.67
11615	3.18	0.16	2.53	145.68	305.83	9.98
11616	3.42	0.07	15.16	138.83	288.39	22.84
11617	3.08	0.11	13.03	10.05	78.25	43.75
11618	3.17	0.11	16.10	178.70	258.07	65.97
11619	2.53	0.13	6.94	124.47	157.08	40.20
11620	2.64	0.13	13.47	295.17	337.30	116.79
11621	3.20	0.12	11.62	334.73	26.50	277.81
11622	2.72	0.16	13.36	48.91	252.98	109.25
11623	2.22	0.10	7.10	22.26	109.71	60.02
11624	2.17	0.16	1.59	149.71	201.35	204.13
11625	3.04	0.07	11.67	206.02	141.65	359.25
11626	2.27	0.10	4.77	19.85	56.50	110.30
11627	2.26	0.05	4.47	271.07	216.65	76.82
11628	2.23	0.05	6.42	51.35	286.92	201.85
11629	2.29	0.16	2.96	185.57	135.92	192.40
11630	2.30	0.06	1.66	120.97	130.86	255.88
11631	2.35	0.13	5.81	283.76	45.06	212.83
11632	2.42	0.21	3.20	139.43	182.18	193.89
11633	2.80	0.16	9.10	60.80	169.22	212.49
11634	2.34	0.10	9.28	242.91	188.37	106.08
11635	2.25	0.10	3.99	221.54	247.75	100.50
11636	2.53	0.12	7.28	127.54	151.67	229.80
11637	2.79	0.19	10.76	114.98	350.78	0.54
11638	2.46	0.18	6.26	93.00	311.73	109.62
11639	2.74	0.11	5.90	124.99	186.82	172.38
11640	2.39	0.12	5.15	299.77	87.53	160.16
11641	2.77	0.07	11.66	292.13	210.65	324.66
11642	2.57	0.13	13.17	311.77	117.52	75.21
11643	2.45	0.26	3.43	131.61	300.76	87.81
11644	3.10	0.26	10.86	127.23	55.87	268.03
11645	2.55	0.19	12.98	131.69	237.81	144.97
11646	2.58	0.07	1.63	65.87	290.67	157.56
11647	3.02	0.06	2.59	44.78	43.14	357.10
11648	2.85	0.02	3.11	110.40	12.28	2.08
11649	2.32	0.15	4.88	336.26	98.75	140.78
11650	2.46	0.26	6.36	298.02	49.21	197.40
11651	2.81	0.01	2.82	182.91	272.74	27.45
11652	3.12	0.11	2.90	100.90	123.90	240.69
11653	3.17	0.05	10.24	144.93	334.42	319.70
11654	2.52	0.18	5.10	130.83	269.99	134.13
11655	3.16	0.10	0.10	64.29	85.83	283.93
11656	3.23	0.06	4.00	10.20	26.20	41.82
11657	2.29	0.19	2.54	182.62	159.32	215.76
11658	3.17	0.14	24.23	165.17	23.23	261.48
11659	2.77	0.02	2.99	233.51	21.76	239.90
11660	2.45	0.18	3.14	135.24	282.03	112.56
11661	2.79	0.14	8.74	3.94	60.76	87.75
11662	3.10	0.15	5.08	53.16	38.99	32.48
11663	5.17	0.13	14.46	226.10	88.28	51.99
11664	3.18	0.09	2.74	117.96	68.69	285.99
11665	3.27	0.16	15.84	215.58	309.10	296.05
11666	2.41	0.16	1.36	188.64	336.14	158.26
11667	2.32	0.15	4.76	32.35	261.05	100.27
11668	5.22	0.14	4.67	20.30	12.82	96.38
11669	2.44	0.09	1.29	72.81	19.15	33.79
11670	3.11	0.12	0.89	23.47	241.55	171.57
11671	2.39	0.15	1.13	26.19	185.15	274.98
11672	2.33	0.19	6.05	281.47	317.44	253.68
11673	2.22	0.09	2.33	157.57	64.86	294.99
11674	2.15	0.04	1.00	321.65	348.50	222.59
11675	2.30	0.16	2.04	181.50	29.30	292.89
11676	2.40	0.11	1.91	311.06	257.98	286.96
11677	2.22	0.13	7.23	141.39	137.26	249.32
11678	2.46	0.18	2.20	258.80	307.77	280.39
11679	2.15	0.08	2.55	227.79	330.73	343.96
11680	2.56	0.18	5.30	147.76	61.07	263.77
11681	2.19	0.10	2.02	324.91	215.71	1.43
11682	2.43	0.17	3.05	76.73	167.74	260.64
11683	2.62	0.05	12.96	179.40	19.59	270.60
11684	2.65	0.15	8.34	159.31	88.29	224.59
11685	2.37	0.10	5.06	334.64	312.41	216.02
11686	2.19	0.12	5.70	5.96	64.62	101.34
11687	2.58	0.23	1.14	258.09	29.19	203.44
11688	2.30	0.04	3.71	339.47	299.76	248.60
11689	2.56	0.04	14.82	170.90	49.19	257.66
11690	2.28	0.08	6.06	9.08	236.51	294.55
11691	2.27	0.12	1.68	167.15	254.37	104.14
11692	3.06	0.21	3.97	145.76	108.41	180.97
11693	2.41	0.10	1.87	359.53	237.27	280.56
11694	2.32	0.10	3.72	163.99	278.72	74.04
11695	2.23	0.07	6.52	25.18	115.74	41.77
11696	2.21	0.14	3.50	66.43	121.43	1.96
11697	2.34	0.06	6.27	272.38	212.27	21.64
11698	2.34	0.12	6.63	329.81	193.48	349.64
11699	2.40	0.08	5.08	300.94	284.79	284.54
11700	2.87	0.18	4.23	302.79	291.33	216.87
11701	2.70	0.15	5.25	276.23	22.52	182.40
11702	2.31	0.12	4.06	322.19	90.53	109.30
11703	2.61	0.08	1.56	143.96	149.15	183.61
11704	2.37	0.13	7.05	10.60	302.94	218.37
11705	2.64	0.19	13.86	131.17	222.47	124.92
11706	2.92	0.05	2.04	29.69	214.15	206.31
11707	2.22	0.16	3.61	310.25	63.59	178.64
11708	2.13	0.12	2.51	215.80	168.70	173.43
11709	2.60	0.11	2.76	193.49	97.46	224.51
11710	2.44	0.07	3.18	101.59	41.44	355.81
11711	2.37	0.11	2.91	273.80	53.87	206.82
11712	2.61	0.09	3.22	65.53	355.97	81.59
11713	2.53	0.12	11.26	213.97	213.60	74.74
11714	2.67	0.25	3.00	179.30	133.75	178.04
11715	2.31	0.08	2.18	168.49	215.46	159.26
11716	2.63	0.19	2.99	344.82	338.66	182.52
11717	3.24	0.13	1.06	21.38	307.63	103.67
11718	2.75	0.19	4.82	76.56	292.86	114.12
11719	2.77	0.04	1.87	63.23	121.37	283.23
11720	2.56	0.05	5.44	150.60	74.73	275.80
11721	2.77	0.18	9.19	188.65	156.10	144.72
11722	2.99	0.10	11.34	145.06	180.20	122.66
11723	2.34	0.14	4.50	125.63	72.73	341.60
11724	2.25	0.09	3.27	96.94	14.15	79.98
11725	2.81	0.05	2.03	148.32	201.52	121.04
11726	3.09	0.14	8.07	143.78	127.89	184.86
11727	2.38	0.05	1.83	319.58	55.87	163.49
11728	2.87	0.01	3.25	101.02	168.50	199.01
11729	3.16	0.12	2.81	78.48	155.62	200.41
11730	2.41	0.07	4.24	147.37	0.93	25.24
11731	3.24	0.15	2.48	122.52	139.61	185.17
11732	3.02	0.05	10.93	116.34	146.87	190.43
11733	3.16	0.01	10.41	180.96	322.04	300.77
11734	2.65	0.13	12.52	221.84	253.22	28.85
11735	3.01	0.13	3.61	352.76	336.45	125.64
11736	2.41	0.15	3.35	73.78	102.26	73.51
11737	2.43	0.03	3.87	201.84	280.81	126.24
11738	3.18	0.16	2.21	115.94	171.59	239.99
11739	3.93	0.25	12.11	269.87	115.43	93.86
11740	2.91	0.02	1.41	206.76	231.85	223.71
11741	2.89	0.01	2.95	54.20	210.91	51.18
11742	2.79	0.01	5.60	104.25	125.43	165.39
11743	2.37	0.19	3.15	109.43	322.29	1.08
11744	2.33	0.22	4.39	308.46	20.63	190.95
11745	2.70	0.18	14.19	159.41	178.36	129.26
11746	2.21	0.19	2.05	248.76	29.52	238.03
11747	2.79	0.03	2.69	175.28	328.91	322.49
11748	2.40	0.25	8.36	299.66	348.00	205.22
11749	2.94	0.07	0.84	297.56	56.49	107.83
11750	3.95	0.07	2.74	328.92	328.76	84.92
11751	2.42	0.11	2.18	340.31	225.77	276.16
11752	2.59	0.17	14.36	137.98	130.61	208.47
11753	3.19	0.10	3.54	299.20	194.64	317.91
11754	2.89	0.06	1.10	183.84	144.66	151.07
11755	2.38	0.16	2.83	32.93	191.63	162.91
11756	2.24	0.18	2.21	51.75	303.59	60.58
11757	3.14	0.24	29.59	185.84	163.85	107.03
11758	3.16	0.14	3.62	279.84	36.84	133.23
11759	2.43	0.10	0.72	326.69	109.22	226.63
11760	3.16	0.10	4.74	336.17	77.38	49.49
11761	3.05	0.18	1.85	20.65	80.15	170.49
11762	2.91	0.02	1.30	317.31	309.73	176.69
11763	2.88	0.02	2.27	182.50	233.07	75.16
11764	2.19	0.07	4.71	16.48	19.11	165.49
11765	2.33	0.11	3.28	312.71	271.73	290.38
11766	3.15	0.15	4.91	344.77	22.22	90.63
11767	2.25	0.05	7.37	1.36	113.61	53.04
11768	3.17	0.06	9.28	11.43	84.84	217.71
11769	2.60	0.04	3.06	181.90	54.60	355.19
11770	3.18	0.13	3.55	74.78	110.33	140.47
11771	2.91	0.22	7.50	32.33	305.96	223.67
11772	2.67	0.11	5.02	145.38	41.81	316.23
11773	2.74	0.12	7.51	326.69	265.96	222.43
11774	3.16	0.14	13.69	348.66	336.59	123.63
11775	2.17	0.03	3.37	164.97	243.56	120.84
11776	3.19	0.17	0.44	285.37	75.70	72.36
11777	2.39	0.21	2.29	7.85	273.49	220.62
11778	2.16	0.06	4.15	66.22	41.06	89.71
11779	2.62	0.11	4.68	69.80	289.78	229.31
11780	2.54	0.28	9.39	151.08	221.08	168.35
11781	2.36	0.12	7.32	123.47	168.49	246.71
11782	2.41	0.18	2.37	26.53	355.36	177.33
11783	3.15	0.21	1.36	187.39	207.87	106.87
11784	3.15	0.22	2.34	171.84	183.46	131.08
11785	2.78	0.06	7.72	65.67	84.77	17.38
11786	3.10	0.27	7.24	342.07	316.01	162.92
11787	2.66	0.18	13.36	355.73	344.62	183.64
11788	2.37	0.25	2.44	314.44	6.80	204.85
11789	1.95	0.05	21.45	46.75	134.54	67.35
11790	2.57	0.25	4.20	12.47	273.13	242.49
11791	2.62	0.24	5.68	347.70	28.50	131.18
11792	2.62	0.29	4.56	342.02	82.00	105.71
11793	3.04	0.15	9.67	146.59	256.39	95.28
11794	3.10	0.16	2.56	81.60	337.23	59.58
11795	2.87	0.12	1.02	193.05	144.48	170.28
11796	2.38	0.20	4.69	173.78	66.29	245.34
11797	2.68	0.19	12.12	356.20	296.71	210.11
11798	2.59	0.16	13.57	354.72	82.94	120.41
11799	3.04	0.18	10.10	220.92	106.95	161.33
11800	3.02	0.11	10.00	241.63	148.29	103.15
11801	3.04	0.10	9.74	246.56	195.03	26.33
11802	2.24	0.07	5.11	259.38	154.94	136.27
11803	3.04	0.12	13.91	203.22	261.19	6.08
11804	2.59	0.20	7.45	325.61	322.72	222.53
11805	3.02	0.12	9.51	201.82	152.64	137.34
11806	2.25	0.11	2.53	267.11	339.60	309.08
11807	3.08	0.11	8.84	188.95	95.24	179.81
11808	2.55	0.24	7.41	200.26	153.15	183.51
11809	2.26	0.06	4.71	345.75	325.33	218.20
11810	3.00	0.07	4.16	206.73	58.21	244.22
11811	2.23	0.09	3.43	2.64	202.64	10.86
11812	3.06	0.11	9.20	342.93	316.67	176.74
11813	3.12	0.09	6.16	172.97	88.51	179.09
11814	3.08	0.06	12.70	175.60	170.88	111.47
11815	2.58	0.17	3.48	328.15	1.81	185.60
11816	2.59	0.19	6.79	223.54	68.66	216.48
11817	2.63	0.21	6.05	168.54	124.03	179.87
11818	2.99	0.10	0.82	280.85	77.96	148.86
11819	3.00	0.11	8.08	290.34	107.41	98.43
11820	3.04	0.07	10.45	193.30	168.17	116.04
11821	3.07	0.06	9.61	12.58	95.47	348.10
11822	2.35	0.25	24.42	8.40	27.54	156.60
11823	2.37	0.25	4.87	32.27	320.59	171.04
11824	2.64	0.31	1.73	1.69	352.99	141.25
11825	3.18	0.17	9.93	197.76	142.63	143.04
11826	3.18	0.21	1.73	18.07	12.80	115.40
11827	2.28	0.15	3.19	227.94	209.44	132.69
11828	2.32	0.21	7.77	345.59	260.48	276.60
11829	2.28	0.14	3.58	333.82	169.56	32.53
11830	2.27	0.18	8.74	23.07	112.95	71.74
11831	2.65	0.16	3.19	145.03	287.97	269.46
11832	2.40	0.21	3.32	96.42	209.56	222.84
11833	1.96	0.08	19.15	241.40	246.88	123.38
11834	2.73	0.26	10.65	160.97	121.45	224.15
11835	2.75	0.10	7.25	349.96	305.76	213.68
11836	2.35	0.35	22.47	131.89	289.81	150.22
11837	2.46	0.19	7.35	45.18	113.54	7.77
11838	2.59	0.29	4.31	129.75	151.20	230.14
11839	2.17	0.10	3.18	18.48	266.12	274.55
11840	2.62	0.29	13.04	145.54	213.22	165.54
11841	2.20	0.20	6.21	13.81	323.27	220.68
11842	2.25	0.09	3.69	273.00	171.96	133.09
11843	2.28	0.15	3.85	192.32	285.99	96.43
11844	3.19	0.16	1.34	41.33	259.88	171.39
11845	3.20	0.21	2.03	125.56	226.61	139.62
11846	2.53	0.12	4.66	93.17	340.63	92.69
11847	2.67	0.06	10.23	329.52	209.15	358.47
11848	2.65	0.13	1.22	94.71	343.74	77.54
11849	2.62	0.20	8.00	231.05	134.87	189.68
11850	2.69	0.10	12.76	9.46	136.82	36.20
11851	2.34	0.22	25.51	172.50	178.09	201.73
11852	2.39	0.23	24.25	5.82	23.55	157.88
11853	2.33	0.08	4.55	11.20	91.32	118.10
11854	2.38	0.15	8.58	356.14	354.07	179.90
11855	2.36	0.24	2.51	157.42	200.45	192.26
11856	2.38	0.23	4.97	8.52	12.29	158.96
11857	2.97	0.14	14.29	145.46	176.50	183.29
11858	3.14	0.17	2.17	125.79	304.03	41.65
11859	2.34	0.17	7.55	114.75	210.35	223.68
