#ID	a	e	i	o	p	M
404	2.59	0.20	14.11	92.69	120.99	106.40
405	2.58	0.24	11.95	255.31	309.18	187.00
406	2.91	0.18	4.20	315.86	38.13	316.71
407	2.62	0.07	7.54	294.84	82.25	238.13
408	3.18	0.13	9.10	297.99	105.83	120.60
409	2.58	0.07	11.24	242.38	352.34	316.69
410	2.73	0.24	10.92	97.27	172.00	266.02
411	2.93	0.12	15.35	107.56	183.49	44.75
412	2.76	0.04	13.78	106.58	94.81	155.17
413	2.58	0.34	18.71	104.19	252.27	143.16
414	3.51	0.07	9.54	110.77	326.96	247.24
415	2.79	0.30	8.17	127.04	297.45	165.61
416	2.79	0.22	12.86	58.21	198.80	78.16
417	2.80	0.13	6.62	199.78	346.09	83.43
418	2.59	0.12	6.83	249.10	126.15	298.07
419	2.60	0.25	3.92	229.36	44.54	4.00
420	3.41	0.04	6.66	243.78	224.33	279.84
421	2.54	0.28	7.77	187.54	209.29	233.99
422	2.23	0.21	5.00	9.22	335.03	195.78
423	3.07	0.04	11.24	69.56	207.53	161.10
424	2.77	0.11	8.21	99.39	333.22	151.30
425	2.89	0.06	4.05	61.21	126.03	276.37
426	2.89	0.11	19.54	311.73	218.88	108.03
427	2.97	0.12	5.13	297.71	13.67	341.56
428	2.31	0.18	6.20	17.76	15.59	198.59
429	2.61	0.12	9.52	220.05	168.53	161.95
430	2.85	0.25	14.57	249.51	179.47	109.32
431	3.14	0.18	1.83	117.43	212.67	192.54
432	2.37	0.15	12.13	88.90	174.03	281.89
433	1.46	0.22	10.83	304.40	178.66	320.22
434	1.94	0.07	22.51	175.41	123.92	97.68
435	2.45	0.15	1.82	23.30	333.27	240.56
436	3.21	0.06	18.49	351.52	37.96	166.26
437	2.39	0.25	7.36	263.40	61.46	286.09
438	2.55	0.07	7.39	49.29	210.38	126.01
439	3.13	0.06	19.19	201.87	235.77	357.02
440	2.21	0.11	1.60	292.36	178.81	15.09
441	2.80	0.08	8.14	253.88	201.61	166.67
442	2.35	0.07	6.06	135.05	84.74	86.28
443	2.22	0.04	4.23	175.56	349.44	3.82
444	2.77	0.17	10.27	195.86	154.47	173.81
445	3.21	0.19	21.35	292.65	79.16	172.03
446	2.79	0.12	10.62	42.16	279.88	252.49
447	2.99	0.04	4.80	72.10	317.16	122.85
448	3.14	0.18	12.72	37.38	295.34	343.64
449	2.55	0.17	3.09	86.05	46.34	173.60
450	3.01	0.10	10.17	14.74	355.77	36.93
451	3.06	0.08	15.22	89.41	340.92	203.85
452	2.85	0.01	3.23	92.62	62.39	214.70
453	2.18	0.11	5.56	11.83	220.03	85.35
454	2.63	0.11	6.30	32.48	178.21	182.11
455	2.66	0.29	12.02	76.62	272.38	321.84
456	2.79	0.18	14.45	229.37	7.38	169.83
457	3.09	0.18	12.95	249.88	128.26	45.26
458	2.99	0.24	12.63	135.00	274.62	8.00
459	2.62	0.21	10.30	29.58	19.33	171.37
460	2.72	0.11	4.64	205.44	161.06	93.17
461	3.12	0.15	1.44	157.48	301.06	280.58
462	2.87	0.08	3.19	105.47	248.73	153.96
463	2.40	0.22	13.56	36.61	329.28	14.11
464	2.80	0.20	10.15	102.73	257.52	136.88
465	3.09	0.21	4.66	300.79	284.50	307.15
466	3.36	0.08	19.16	291.21	245.54	234.28
467	2.94	0.11	6.45	322.64	92.85	244.47
468	3.13	0.20	0.44	21.41	334.56	342.44
469	3.17	0.17	11.71	334.38	205.92	127.12
470	2.40	0.09	7.23	173.32	46.68	263.54
471	2.89	0.23	14.99	84.10	314.58	262.10
472	2.54	0.09	15.80	127.37	295.62	49.42
473	2.66	0.11	12.92	332.44	153.40	332.76
474	2.45	0.21	8.80	161.91	155.88	193.59
475	2.59	0.38	18.90	34.62	305.35	238.48
476	2.65	0.07	10.94	286.53	1.73	13.30
477	2.42	0.19	5.29	10.75	322.05	175.65
478	3.01	0.09	13.18	234.03	241.60	145.31
479	2.72	0.22	8.67	136.30	269.13	338.19
480	2.64	0.05	21.29	237.40	212.81	181.25
481	2.74	0.16	9.86	67.03	348.76	288.22
482	3.00	0.10	14.47	179.57	88.67	188.63
483	3.42	0.05	18.74	174.13	151.58	269.69
484	2.67	0.06	12.50	127.41	189.25	94.31
485	2.75	0.19	13.86	193.87	271.04	269.90
486	2.35	0.16	11.08	94.37	123.92	157.60
487	2.67	0.09	10.23	115.04	279.82	72.49
488	3.16	0.17	11.50	85.00	68.83	166.81
489	3.15	0.04	12.98	167.19	11.96	245.35
490	3.17	0.10	9.26	178.51	197.10	357.66
491	3.19	0.09	18.89	175.56	237.24	267.56
492	3.13	0.17	1.63	46.73	293.37	221.85
493	3.13	0.17	15.16	357.57	47.08	144.76
494	2.99	0.06	7.08	38.40	216.41	44.34
495	2.49	0.13	2.28	186.62	206.53	5.70
496	2.20	0.08	3.79	207.77	258.45	47.62
497	2.85	0.30	4.84	6.81	2.67	85.11
498	2.65	0.22	9.50	97.51	241.25	276.02
499	4.01	0.21	2.09	256.54	177.30	339.12
500	2.61	0.15	9.76	290.23	74.02	120.23
501	3.16	0.14	20.88	357.57	350.88	172.76
502	2.38	0.18	25.01	133.11	19.32	198.67
503	2.72	0.18	5.03	69.21	40.14	237.63
504	2.72	0.22	12.89	104.73	248.14	238.37
505	2.69	0.25	9.82	91.03	335.98	337.60
506	3.04	0.15	16.99	313.05	147.71	96.81
507	3.16	0.09	9.51	293.84	98.74	155.45
508	3.16	0.01	13.36	44.51	178.15	8.01
509	3.07	0.09	15.40	217.82	156.39	181.54
510	2.61	0.19	9.52	202.89	91.01	344.66
511	3.17	0.19	15.94	107.68	338.69	125.00
512	2.19	0.25	8.75	107.20	248.93	41.52
513	3.01	0.08	9.73	184.76	220.87	63.36
514	3.05	0.05	3.88	269.00	112.74	329.76
515	3.13	0.17	2.03	121.57	296.41	65.39
516	2.68	0.27	12.96	328.91	258.44	139.80
517	3.15	0.19	3.20	274.84	137.68	10.34
518	2.53	0.23	6.73	204.26	117.00	50.60
519	2.79	0.19	11.02	44.81	303.11	273.25
520	3.01	0.10	10.96	34.48	22.76	121.39
521	2.75	0.28	10.56	90.00	315.35	95.32
522	3.63	0.07	4.44	117.06	238.18	316.30
